47.028374,	7.335966,	895.369019
47.027960,	7.335314,	895.026428
47.027508,	7.334600,	893.673035
47.027069,	7.333974,	894.165161
47.026644,	7.333265,	893.727356
47.026250,	7.332583,	894.162415
47.025805,	7.331910,	894.158142
47.025390,	7.331206,	893.941406
47.024992,	7.330579,	893.941772
47.025393,	7.329532,	874.637756
47.025668,	7.330046,	871.174744
47.025960,	7.330552,	870.411011
47.026300,	7.330990,	868.704163
47.026603,	7.331603,	870.948608
47.026952,	7.332064,	870.149353
47.027250,	7.332568,	870.625122
47.027564,	7.333062,	870.568176
47.027883,	7.333550,	871.286438
47.028198,	7.334046,	871.685547
47.028469,	7.334563,	870.816589
47.028793,	7.335030,	870.510376
47.029138,	7.335543,	872.155212
47.029435,	7.336084,	870.687500
47.029742,	7.336559,	871.476135
47.030042,	7.337071,	869.562012
47.030375,	7.337511,	869.331360
47.030581,	7.336297,	868.351013
47.030169,	7.335653,	869.321411
47.029748,	7.335026,	869.748291
47.029342,	7.334331,	869.867126
47.028971,	7.333708,	871.562988
47.028574,	7.333101,	870.097351
47.028167,	7.332475,	870.837158
47.027790,	7.331788,	871.929321
47.027366,	7.331225,	872.748718
47.027029,	7.330577,	871.775146
47.026582,	7.329867,	872.946045
47.026190,	7.329251,	872.685852
47.025757,	7.328578,	871.323669
47.026568,	7.328244,	871.559631
47.026883,	7.328704,	871.802307
47.027170,	7.329256,	871.994812
47.027510,	7.329699,	872.349243
47.027773,	7.330194,	871.170715
47.028097,	7.330669,	869.854858
47.028395,	7.331170,	869.909790
47.028711,	7.331638,	870.633789
47.028988,	7.332160,	869.793701
47.029299,	7.332620,	869.429077
47.029620,	7.333111,	869.257141
47.029911,	7.333562,	869.448914
47.030212,	7.334068,	869.067993
47.030534,	7.334528,	869.292236
47.030809,	7.335018,	869.319214
47.031131,	7.335531,	868.248352
47.031447,	7.336054,	869.697266
47.031677,	7.334848,	870.142395
47.031295,	7.334215,	870.652771
47.030918,	7.333574,	871.084351
47.030478,	7.332931,	872.148682
47.030065,	7.332245,	873.157776
47.029669,	7.331590,	873.834839
47.029275,	7.330958,	873.064087
47.028831,	7.330301,	873.256409
47.028428,	7.329604,	873.425842
47.028011,	7.328979,	873.346497
47.027612,	7.328310,	872.040955
47.027175,	7.327666,	872.989197
